web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781162651-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Kathleen on Jun 10, 2025","My daughter loved this after purchasing and being disappointed by another, similar item.  And I love supporting small businesses when possible.","Kathleen","Fourth Wing Series Two Sided Sweatshirt For Fans, War College Crewneck, Dragon Rider Hoodie, Book Merch Gift","5 out of 5 stars","https://i.etsystatic.com/6495323611/r/il/db6019/6495323611/il_340x270.6495323611_gs0y.jpg","https://www.etsy.com/listing/1815451268/fourth-wing-series-two-sided-sweatshirt?ref=shop_review"
"1781162651-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","josie on Jun 10, 2025","Highly rec!!! It's so cute I love it","josie","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781162651-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","josie on Jun 10, 2025","Obsessed!!! I love it so much","josie","Fireheart TOG Fan Merch Comfort Colors Shirt, Aelin Galathynius Fireheart T Shirt, To Whatever End Tee, Bookish Gift, Fantasy Apparel","5 out of 5 stars","https://i.etsystatic.com/6689656254/r/il/1e0b90/6689656254/il_340x270.6689656254_ga2j.jpg","https://www.etsy.com/listing/1883106261/fireheart-tog-fan-merch-comfort-colors?ref=shop_review"
"1781162651-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Stacey on Jun 10, 2025","Exactly as described. Shipped fast! Going to be perfect for my work Fourth of July pot luck","Stacey","4th Of July Hot Dog Shirt, Legally Blonde Quote Tee, You Look Like The 4th Of July Tshirt, Patriotic Graphic Tee, Independence Day Shirt","5 out of 5 stars","https://i.etsystatic.com/6847088562/r/il/ecbcde/6847088562/il_340x270.6847088562_8nni.jpg","https://www.etsy.com/listing/4302419616/4th-of-july-hot-dog-shirt-legally-blonde?ref=shop_review"
"1781162651-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Cecelia on Jun 10, 2025","Shirt is cute and fits well","Cecelia","Salty Moms Beach Club Comfort Colors Shirt, The Beach Club Shirt, Aesthetic Beach Shirt, Mother’s Day Shirt Gift, Summer Vibes Tee","5 out of 5 stars","https://i.etsystatic.com/6831665069/r/il/b8b09d/6831665069/il_340x270.6831665069_dsub.jpg","https://www.etsy.com/listing/1887331632/salty-moms-beach-club-comfort-colors?ref=shop_review"
"1781162651-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Cecelia on Jun 10, 2025","Shirt is cute and fits well","Cecelia","Salty Moms Beach Club Comfort Colors Shirt, The Beach Club Shirt, Aesthetic Beach Shirt, Mother’s Day Shirt Gift, Summer Vibes Tee","5 out of 5 stars","https://i.etsystatic.com/6831665069/r/il/b8b09d/6831665069/il_340x270.6831665069_dsub.jpg","https://www.etsy.com/listing/1887331632/salty-moms-beach-club-comfort-colors?ref=shop_review"
"1781162651-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Jessicz on Jun 9, 2025","Great quality shirt. Fit well","Jessicz","Lunathion Crescent City Comfort Colors Shirt,  Bryce Tattoo, Bryce Quinlan Merch, Crescent City Sjm Merch, House Of Earth And Blood","5 out of 5 stars","https://i.etsystatic.com/6161166361/r/il/7c8b8c/6161166361/il_340x270.6161166361_244n.jpg","https://www.etsy.com/listing/1759162351/lunathion-crescent-city-comfort-colors?ref=shop_review"
"1781162651-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Emily on Jun 9, 2025","High quality and comfy ! Love it!","Emily","Salty Moms Beach Club Comfort Colors Shirt, The Beach Club Shirt, Aesthetic Beach Shirt, Mother’s Day Shirt Gift, Summer Vibes Tee","5 out of 5 stars","https://i.etsystatic.com/6831665069/r/il/b8b09d/6831665069/il_340x270.6831665069_dsub.jpg","https://www.etsy.com/listing/1887331632/salty-moms-beach-club-comfort-colors?ref=shop_review"
"1781162651-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Emily on Jun 9, 2025","Comfy and perfectly oversized! Definitely the tee of the summer 🤩🌊⛱️☀️","Emily","Salty Moms Beach Club Comfort Colors Shirt, The Beach Club Shirt, Aesthetic Beach Shirt, Mother’s Day Shirt Gift, Summer Vibes Tee","5 out of 5 stars","https://i.etsystatic.com/6831665069/r/il/b8b09d/6831665069/il_340x270.6831665069_dsub.jpg",""
"1781162651-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=80","","Derriel on Jun 9, 2025","My favorite shirt to wear!","Derriel","Excellent Boiled Potatoes Comfort Colors Shirt, Pride and Prejudice Fan T Shirt, Funny Jane Austen Tee, Gift For Book Lovers","5 out of 5 stars","https://i.etsystatic.com/6778448958/r/il/918a85/6778448958/il_340x270.6778448958_onfx.jpg","https://www.etsy.com/listing/1875249568/excellent-boiled-potatoes-comfort-colors?ref=shop_review"
