web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781159785-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Kristine on Sep 6, 2025","I loved this! Exactly what I expected, and it was great quality, too!","Kristine","Night Owl Reader Shirt Comfort Colors, Late Night Reading Book Club Shirt, Trendy Book Shirt, Book Lover Gift, Cute Bookworm Tee","5 out of 5 stars","https://i.etsystatic.com/6874975428/r/il/6a2a38/6874975428/il_340x270.6874975428_1ytr.jpg","https://www.etsy.com/listing/4307978357/night-owl-reader-shirt-comfort-colors?ref=shop_review"
"1781159785-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Chelsea on Sep 5, 2025","Great item that I know my sister will love! Plan to buy one for myself soon.","Chelsea","Anti Social Book Club Shirt Comfort Colors, Romance Reader Tshirt, Anti Social Reader, Introverted Reader Tee, Bookish Shirt For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6903717149/r/il/f8fb2c/6903717149/il_340x270.6903717149_5wiy.jpg","https://www.etsy.com/listing/4304161995/anti-social-book-club-shirt-comfort?ref=shop_review"
"1781159785-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Katelyn on Sep 5, 2025","Shirt turned out perfect! Can’t wait to wear it in the parks!","Katelyn","Pick Your Poison Vintage Comfort Colors Shirt, Princess Halloween TShirt, Kuzco Poison Apple Tee, Spooky Season, Villain Cartoon","5 out of 5 stars","https://i.etsystatic.com/7059086730/r/il/9879d3/7059086730/il_340x270.7059086730_mk6c.jpg","https://www.etsy.com/listing/4342572065/pick-your-poison-vintage-comfort-colors?ref=shop_review"
"1781159785-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Blumodifer on Sep 5, 2025","Great quality and print. Arrived fast.","Blumodifer","ACOTAR Velaris Art Festival Comfort Colors Shirt, The Night Court Inspired T Shirt, SJM City Of Stars Tee, Feyre Rhysand Book Lover","5 out of 5 stars","https://i.etsystatic.com/7179112103/r/il/502615/7179112103/il_340x270.7179112103_1xhm.jpg","https://www.etsy.com/listing/4356499798/acotar-velaris-art-festival-comfort?ref=shop_review"
"1781159785-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Kaylee on Sep 4, 2025","Ordered to wear for the Benson Boone concert and I think it will work great and will be a great everyday shirt afterwards.","Kaylee","","5 out of 5 stars","",""
"1781159785-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Margaret on Sep 4, 2025","great shirt! exactly as described","Margaret","Wizard Movie Fan Emerald City Comfort Colors Shirt, Wicked Change For Good T Shirt, Wizard University Tee, Gift For Fan","5 out of 5 stars","https://i.etsystatic.com/6597556659/r/il/64f315/6597556659/il_340x270.6597556659_k1jf.jpg","https://www.etsy.com/listing/1826335325/wizard-movie-fan-emerald-city-comfort?ref=shop_review"
"1781159785-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Marygrace on Sep 4, 2025","My boyfriend loves the fit and it came very fast!","Marygrace","I Love My Cougar Girlfriend Comfort Colors Shirt, Two Sided Shirt For Boyfriend, Funny Cougar Girlfriend Tee, Gift For Him","5 out of 5 stars","https://i.etsystatic.com/6638484511/r/il/41de36/6638484511/il_340x270.6638484511_4xzf.jpg","https://www.etsy.com/listing/1863284009/i-love-my-cougar-girlfriend-comfort?ref=shop_review"
"1781159785-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Emily on Sep 4, 2025","Such a cute shirt, absolutely love it!","Emily","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781159785-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Etsy buyer on Sep 4, 2025","Such great quality! My new favorite shirt","Etsy buyer","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781159785-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25","","Kristen on Sep 4, 2025","Loved the book, love this shirt!","Kristen","Powerless Bookish Comfort Colors Shirt For Fan, Kai Azer I Love You TShirt, Fearless Fan Shirt, Gift for Bookworms, Romantic Quotes","5 out of 5 stars","https://i.etsystatic.com/6815056717/r/il/5f9325/6815056717/il_340x270.6815056717_gd7r.jpg","https://www.etsy.com/listing/1884023784/powerless-bookish-comfort-colors-shirt?ref=shop_review"
