web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781165156-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Emily on Feb 21, 2025","Love love love!! It’s my new favorite gym shirt","Emily","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165156-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Kelly on Feb 21, 2025","Highly recommend this shop.  Great quality materials, beautiful design and fast shipping.","Kelly","Velaris The Night Court Acotar 2 Sided Comfort Colors Shirt, Velaris The Night Court Shirt, Court Of Dreams, Inner Circle Acotar Tee","5 out of 5 stars","https://i.etsystatic.com/6191051472/r/il/55c9c1/6191051472/il_340x270.6191051472_9fhf.jpg","https://www.etsy.com/listing/1762772738/velaris-the-night-court-acotar-2-sided?ref=shop_review"
"1781165156-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Kelly on Feb 21, 2025","Just as described.  Highly recommend this shop!  Great quality, fast shipping, beautiful design.","Kelly","Fourth Wing Series Comfort Colors Shirt For Fans, War College T-Shirt, Dragon Rider Tee, Book Merch Gift","5 out of 5 stars","https://i.etsystatic.com/6347628124/r/il/f6ad5d/6347628124/il_340x270.6347628124_n2dw.jpg","https://www.etsy.com/listing/1809627695/fourth-wing-series-comfort-colors-shirt?ref=shop_review"
"1781165156-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Ashley on Feb 21, 2025","Just as pictured and arrived quickly!","Ashley","Fourth Wing Series Comfort Colors Shirt For Fans, War College T-Shirt, Dragon Rider Tee, Book Merch Gift","5 out of 5 stars","https://i.etsystatic.com/6347628124/r/il/f6ad5d/6347628124/il_340x270.6347628124_n2dw.jpg","https://www.etsy.com/listing/1809627695/fourth-wing-series-comfort-colors-shirt?ref=shop_review"
"1781165156-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Etsy buyer on Feb 21, 2025","I’m loving this shirt! Great!","Etsy buyer","Fourth Wing Series Comfort Colors Shirt For Fans, War College T-Shirt, Dragon Rider Tee, Book Merch Gift","5 out of 5 stars","https://i.etsystatic.com/6347628124/r/il/f6ad5d/6347628124/il_340x270.6347628124_n2dw.jpg","https://www.etsy.com/listing/1809627695/fourth-wing-series-comfort-colors-shirt?ref=shop_review"
"1781165156-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Joshua on Feb 21, 2025","Everything was perfect! Got it as a Valentine's gift for my wife and she LOVED IT!","Joshua","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165156-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Joshua on Feb 21, 2025","Everything was perfect! Got it as a Valentine's gift for my wife and she LOVED IT!","Joshua","Basgiath War College 2 Sided Comfort Colors Shirt, Vintage Dragon Rider TShirt,  Fourth Wing Riders Quadrant,Trendy Book Merch,Bookish Gifts","5 out of 5 stars","https://i.etsystatic.com/6572047861/r/il/c15703/6572047861/il_340x270.6572047861_4vw6.jpg","https://www.etsy.com/listing/1834454236/basgiath-war-college-2-sided-comfort?ref=shop_review"
"1781165156-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Bev on Feb 21, 2025","The title of this review suggest that I purchased a crew neck when in fact I ordered a hoodie.  It's very, very nice. Great quality, quick shipping. I highly recommend.","Bev","Wicked Defying Gravity Sweatshirt, Pink And Green Changed For Good Crewneck ,Wicked The Musical, Broomstick Magic Wand Movie Fan Shirt","5 out of 5 stars","https://i.etsystatic.com/6474118835/r/il/f025e1/6474118835/il_340x270.6474118835_8glf.jpg","https://www.etsy.com/listing/1810959218/wicked-defying-gravity-sweatshirt-pink?ref=shop_review"
"1781165156-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Noelle on Feb 21, 2025","Print looks great! Tshirt is high quality. I sized up for more relaxed oversized fit and it is perfect.","Noelle","Riorson House Comfort Colors Shirt, Fortress Of Aretia Shirts, Fourth Wing Inspired Merch, RY Inspired T Shirt, Bookish Gift","5 out of 5 stars","https://i.etsystatic.com/6150626375/r/il/1b0d30/6150626375/il_340x270.6150626375_qvze.jpg","https://www.etsy.com/listing/1742660126/riorson-house-comfort-colors-shirt?ref=shop_review"
"1781165156-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Peyton on Feb 21, 2025","Great shirt! Very happy with the quality!","Peyton","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165156-11","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=142","","Kristin on Feb 21, 2025","Such a cute shirt! My friend loved it","Kristin","Fourth Wing Quest Squad Comfort Colors Shirt, Ridoc Dragon Rider T Shirt, Onyx Storm Riorson House Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6621971434/r/il/263a11/6621971434/il_340x270.6621971434_s4c6.jpg","https://www.etsy.com/listing/1855552592/fourth-wing-quest-squad-comfort-colors?ref=shop_review"
