web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781159631-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Berlin on Oct 9, 2025","I’m absolutely love the shirt! Exactly what I expected and I wear it all the time","Berlin","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781159631-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Etsy buyer on Oct 9, 2025","Beautiful and perfect for the fan of Wicked!","Etsy buyer","Wicked Change For Good Comfort Colors Shirt, Defy Gravity Broomstick Magic Wand, Wizard Movie Fan Shirt, Wicked Musical Fan Gift","5 out of 5 stars","https://i.etsystatic.com/6559794973/r/il/24d016/6559794973/il_340x270.6559794973_pw2i.jpg","https://www.etsy.com/listing/1822510059/wicked-change-for-good-comfort-colors?ref=shop_review"
"1781159631-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Etsy buyer on Oct 8, 2025","gift for my boyfriend, great quality and shipped fast","","I Love My Cougar Girlfriend Comfort Colors Shirt, Two Sided Shirt For Boyfriend, Funny Cougar Girlfriend Tee, Gift For Him","5 out of 5 stars","https://i.etsystatic.com/6638484511/r/il/41de36/6638484511/il_340x270.6638484511_4xzf.jpg","https://www.etsy.com/listing/1863284009/i-love-my-cougar-girlfriend-comfort?ref=shop_review"
"1781159631-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Erika on Oct 7, 2025","Love the item love the material","Erika","Wicked Change For Good Comfort Colors Shirt, Defy Gravity Broomstick Magic Wand, Wizard Movie Fan Shirt, Wicked Musical Fan Gift","5 out of 5 stars","https://i.etsystatic.com/6559794973/r/il/24d016/6559794973/il_340x270.6559794973_pw2i.jpg","https://www.etsy.com/listing/1822510059/wicked-change-for-good-comfort-colors?ref=shop_review"
"1781159631-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Gina on Oct 6, 2025","Bought as a gift. Recipient loved it and wears it all the time.","Gina","Team Conrad Junior Mint Bear Shirt Comfort Colors, Cousins Beach TSITP Shirt, Summer Beach Tee, Team Conrad Cousins Beach TShirt","5 out of 5 stars","https://i.etsystatic.com/7059083356/r/il/48637b/7059083356/il_340x270.7059083356_pm4y.jpg","https://www.etsy.com/listing/4342570512/team-conrad-junior-mint-bear-shirt?ref=shop_review"
"1781159631-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Etsy buyer on Oct 6, 2025","Good overall. The design is very good.","","Esquie Clair Obscur Expedition 33 Shirt Comfort Colors, Whee Whoo Funny Esquie T Shirt,  Gamer Gift Tee, Expedition Shirt for Fans","5 out of 5 stars","https://i.etsystatic.com/6916668226/r/il/04e98c/6916668226/il_340x270.6916668226_53pv.jpg","https://www.etsy.com/listing/4315988770/esquie-clair-obscur-expedition-33-shirt?ref=shop_review"
"1781159631-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Megan on Oct 6, 2025","Love the shirt! Made well and super comfortable!","Megan","Stars Hollow Luke's Diner Comfort Colors Shirt, Luke’s Coffee Mug Tee, Stars Hollow Connecticut Long Sleeve, Autumn Festival Gift","5 out of 5 stars","https://i.etsystatic.com/7085016294/r/il/71051e/7085016294/il_340x270.7085016294_bnv2.jpg","https://www.etsy.com/listing/4347273296/stars-hollow-lukes-diner-comfort-colors?ref=shop_review"
"1781159631-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Alyssa on Oct 3, 2025","I love this shirt and wear it maybe too often?","Alyssa","Villain Assistant Comfort Colors Shirt For Fan, Greeting From Rennedawn T Shirt, Villain Lover Tee, Funny Gift For Romantasy Book Lover","5 out of 5 stars","https://i.etsystatic.com/6567404770/r/il/5b3179/6567404770/il_340x270.6567404770_atc1.jpg","https://www.etsy.com/listing/1858558633/villain-assistant-comfort-colors-shirt?ref=shop_review"
"1781159631-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Cyrina on Oct 2, 2025","super cute, arrived quickly. does have a bit of a chemical smell but hoping that goes away in the wash","Cyrina","Fourth Wing Books Stamp Shirt Comfort Colors, Fourth Wing Inspired Shirt, Dragon Rider Shirt, Romantasy Fan Shirt, Book Lovers Tee","5 out of 5 stars","https://i.etsystatic.com/7030864639/r/il/4069d7/7030864639/il_340x270.7030864639_8fvq.jpg","https://www.etsy.com/listing/4328546006/fourth-wing-books-stamp-shirt-comfort?ref=shop_review"
"1781159631-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16","","Allison on Oct 2, 2025","Awesome shirt for the most awesome concert","Allison","","5 out of 5 stars","",""
