web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781160741-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Zachary on Aug 10, 2025","good good luck to everyone and keep","Zachary","Esquie Clair Obscur Expedition 33 Shirt Comfort Colors, Whee Whoo Funny Esquie T Shirt,  Gamer Gift Tee, Expedition Shirt for Fans","5 out of 5 stars","https://i.etsystatic.com/6916668226/r/il/04e98c/6916668226/il_340x270.6916668226_53pv.jpg","https://www.etsy.com/listing/4315988770/esquie-clair-obscur-expedition-33-shirt?ref=shop_review"
"1781160741-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Katherine on Aug 9, 2025","Love this shirt! Now my family wants one too!","Katherine","New Achievement Two-Sided Comfort Colors Shirt, Dungeon Crawler Carl T Shirt, Sci-Fi Book Lover Tee, Bookish Apparel for Book Lovers","5 out of 5 stars","https://i.etsystatic.com/6840644465/r/il/d37c18/6840644465/il_340x270.6840644465_lqum.jpg","https://www.etsy.com/listing/1903301547/new-achievement-two-sided-comfort-colors?ref=shop_review"
"1781160741-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Allysa on Aug 9, 2025","Just as described! So cute!","Allysa","Custom Birthday Comfort Colors Shirt for Wizard Fans, Happee Birthdae T Shirt, Magical Cake Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6217605384/r/il/00cf47/6217605384/il_340x270.6217605384_cxut.jpg","https://www.etsy.com/listing/1782824371/custom-birthday-comfort-colors-shirt-for?ref=shop_review"
"1781160741-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Dayton on Aug 9, 2025","Beautiful shirt. Just as pictured","Dayton","Gulf Of Mexico Social Club Comfort Colors Shirt, Anti Gulf Of America Shirt, Retro Mexico Gulf Shirt, Gift For Democrat, Anti Trump Shirt","5 out of 5 stars","https://i.etsystatic.com/6672158846/r/il/bfa18b/6672158846/il_340x270.6672158846_mrvw.jpg","https://www.etsy.com/listing/1865487740/gulf-of-mexico-social-club-comfort?ref=shop_review"
"1781160741-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Etsy buyer on Aug 9, 2025","A great, high quality shirt!","Etsy buyer","Retro No Kings Since 1776 Shirt Comfort Colors, Rejecting Kings Shirt, No Kings In America 86/47, 4th Of July America Tee","5 out of 5 stars","https://i.etsystatic.com/6944028536/r/il/34a7c7/6944028536/il_340x270.6944028536_d1il.jpg","https://www.etsy.com/listing/4321251586/retro-no-kings-since-1776-shirt-comfort?ref=shop_review"
"1781160741-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Shanae on Aug 9, 2025","It came as pictured! I love it!","Shanae","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781160741-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Samantha on Aug 9, 2025","I really want to give this product a 5* rating. When I received the shirt in the mail I was absolutely floored by how beautiful it was in person! However I've not even gotten a chance to wear it yet. My uncle needing clothes to make a full load of laundry, asked if he could grab some of mine while I was at work. When I got home I noticed the design was completely stuck together. Even with me being careful it ruined the design. Im not sure what kind of settings was on the washer or dryer for that to happen. However that was my first graphic tee to do that. Im sad I didn't even get to try it on to see how it looked.","Samantha","Jasmine Dragon Tea Shop Comfort Colors Shirt, Uncle Iroh Shirt Gift, Anime Lover's Gift, Uncle Iroh Tea Shop Inspired, Avatar TShirt","3 out of 5 stars","https://i.etsystatic.com/6557721462/r/il/128753/6557721462/il_340x270.6557721462_a4nm.jpg","https://www.etsy.com/people/ip6lnc5uwh4ukq62"
"1781160741-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Bethany on Aug 9, 2025","My t shirt arrived and the printing was discolored. I have been trying to get a refund for several days, but the seller has stopped responding and won’t resolve the issue. Will not be using them again.","Bethany","The Shire LOTR Comfort Colors Shirt For Fans, Fantasy Book Lover T Shirt, Funny Second Breakfast Tee, Gift For Book Lover","2 out of 5 stars","https://i.etsystatic.com/6569082793/r/il/7667c1/6569082793/il_340x270.6569082793_6jq3.jpg","https://www.etsy.com/listing/1833612946/the-shire-lotr-comfort-colors-shirt-for?ref=shop_review"
"1781160741-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Kelly on Aug 9, 2025","They turned out beautiful! This is the second time ordering from the shop!","Kelly","I Still Read Fairy Tales Shirt Comfort Colors, Spicy Bookish Tee, Fantasy Dark Romance Smut Shirt, Book Lover Gift For Her, Bookworm Gift","5 out of 5 stars","https://i.etsystatic.com/6908845923/r/il/b663a2/6908845923/il_340x270.6908845923_gt2q.jpg","https://www.etsy.com/listing/4305201691/i-still-read-fairy-tales-shirt-comfort?ref=shop_review"
"1781160741-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=43","","Etsy buyer on Aug 9, 2025","This shirt is so cute and looks exactly as I expected! The design is vibrant even on the grey color.","","Velaris The Night Court Acotar 2 Sided Comfort Colors Shirt, Velaris The Night Court Shirt, Court Of Dreams, Inner Circle Acotar Tee","5 out of 5 stars","https://i.etsystatic.com/6191051472/r/il/55c9c1/6191051472/il_340x270.6191051472_9fhf.jpg",""
