web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781160308-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Erin on Aug 31, 2025","Excellent quality, exactly like the picture. Has been washed multiple times and the image is still like it was when it was new.","Erin","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781160308-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Ashley on Aug 31, 2025","Looks just like the picture and high quality material!","Ashley","Pick Your Poison Vintage Comfort Colors Shirt, Princess Halloween TShirt, Kuzco Poison Apple Tee, Spooky Season, Villain Cartoon","5 out of 5 stars","https://i.etsystatic.com/7059086730/r/il/9879d3/7059086730/il_340x270.7059086730_mk6c.jpg","https://www.etsy.com/listing/4342572065/pick-your-poison-vintage-comfort-colors?ref=shop_review"
"1781160308-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Emma on Aug 31, 2025","This is a subtle book reference and got a lot of compliments. I like it a lot!","Emma","Emily Henry Books Stamp Shirt Comfort Colors, Beach Read Shirt, Sunshine Falls Shirt, Happy Place Inspired Shirt, Book Lovers Tee","5 out of 5 stars","https://i.etsystatic.com/6913676244/r/il/617dbe/6913676244/il_340x270.6913676244_41p4.jpg","https://www.etsy.com/listing/4315416492/emily-henry-books-stamp-shirt-comfort?ref=shop_review"
"1781160308-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Etsy buyer on Aug 31, 2025","Great quality! Great fit! I love it!","","","1 out of 5 stars","",""
"1781160308-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Inactive account on Aug 31, 2025","OMG I LOVE THIS SHIRT!!!!!!!!!!!!!!!!! SUPER COMFY AND GREAT DESIGN!!
A little Baggy but thats probably why i love it sooooooo much. To All Fourth Wing Fans I recommend this shirt.","","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781160308-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Tristan on Aug 31, 2025","Great product thank you much.","Tristan","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781160308-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Christina on Aug 31, 2025","So comfy! I love it!","Christina","Nevermore Academy Comfort Colors Shirt, Addams Inspired Clothing, Gothic Fashion, Halloween Costume, Addams Family Apparel","5 out of 5 stars","https://i.etsystatic.com/7166530429/r/il/fe871e/7166530429/il_340x270.7166530429_vk8p.jpg","https://www.etsy.com/listing/4354079224/nevermore-academy-comfort-colors-shirt?ref=shop_review"
"1781160308-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Brenda on Aug 30, 2025","I bought this for my niece for her birthday, and she loves it! Loved it so much that some of our friends decided to get the same shirt to wear to his upcoming concert.","Brenda","Moonbeam Ice Cream Cookie Comfort Colors Shirt, American Music Tour 2025 T Shirt, Mystical Magical, Concer Tour Tee","5 out of 5 stars","https://i.etsystatic.com/6982930684/r/il/bec016/6982930684/il_340x270.6982930684_oeh7.jpg","https://www.etsy.com/listing/4328550546/moonbeam-ice-cream-cookie-comfort-colors?ref=shop_review"
"1781160308-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Lizzie on Aug 30, 2025","Such a cool design, and the shirt fits perfectly.","Lizzie","Funny LOTR Comfort Colors Shirt For Fans, Second Breakfast Shirt, Bookworm Apparel, Cozy Fantasy Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6534471800/r/il/14691c/6534471800/il_340x270.6534471800_gz9x.jpg","https://www.etsy.com/listing/1851462715/funny-lotr-comfort-colors-shirt-for-fans?ref=shop_review"
"1781160308-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Mindy on Aug 30, 2025","This is my 3rd purchase from this GONdesignJEWELRY! We are obsessed with the quality of the shirts and the print is always perfect!!! Love all the designs. My daughter loves the Powerless series so she loves this shirt!!!","Mindy","Reckless Lauren Roberts Bookish Comfort Colors Shirt, Powerless Series Shirt, Kai And Paedyn Fan Merch, Romantasy Shirt For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6829234467/r/il/ca6eb6/6829234467/il_340x270.6829234467_ax52.jpg",""
"1781160308-11","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=28","","Mindy on Aug 30, 2025","Absolutely love!!! My daughter is wearing it to Disneyland! She will love it. Excellent quality. Size is perfect.","Mindy","Pick Your Poison Vintage Comfort Colors Shirt, Princess Halloween TShirt, Kuzco Poison Apple Tee, Spooky Season, Villain Cartoon","5 out of 5 stars","https://i.etsystatic.com/7059086730/r/il/9879d3/7059086730/il_340x270.7059086730_mk6c.jpg",""
