web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781164418-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Etsy buyer on Mar 21, 2025","Very comfy and cute graphic shirt!","Etsy buyer","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781164418-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Megan on Mar 20, 2025","Love this shirt! One of my favorite quotes from Ridoc and always makes me laugh. Shirt is great quality on comfort colors! Pricing was great too! Would absolutely recommend!","Megan","Ridoc Quest Squad Comfort Colors Shirt, I Kept The Inside Thoughts Inside Tee, Onyx Storm Fourth Wing Shirt For Fans, Bookish Gift","5 out of 5 stars","https://i.etsystatic.com/6641562060/r/il/6cb091/6641562060/il_340x270.6641562060_ih0l.jpg",""
"1781164418-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Bobbie on Mar 20, 2025","A beautiful design and wonderful quality.","Bobbie","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781164418-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Kelli on Mar 20, 2025","Great quality, sister loves it.","Kelli","Fourth Wing Quest Squad Comfort Colors Shirt, Ridoc Dragon Rider T Shirt, Onyx Storm Riorson House Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6621971434/r/il/263a11/6621971434/il_340x270.6621971434_s4c6.jpg","https://www.etsy.com/listing/1855552592/fourth-wing-quest-squad-comfort-colors?ref=shop_review"
"1781164418-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Kelli on Mar 20, 2025","Great quality. Love my shirt","Kelli","Fourth Wing Quest Squad Comfort Colors Shirt, Ridoc Dragon Rider T Shirt, Onyx Storm Riorson House Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6621971434/r/il/263a11/6621971434/il_340x270.6621971434_s4c6.jpg","https://www.etsy.com/listing/1855552592/fourth-wing-quest-squad-comfort-colors?ref=shop_review"
"1781164418-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Kelli on Mar 20, 2025","Great shirt. Fits right and great quality","Kelli","Fourth Wing Quest Squad Comfort Colors Shirt, Ridoc Dragon Rider T Shirt, Onyx Storm Riorson House Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6621971434/r/il/263a11/6621971434/il_340x270.6621971434_s4c6.jpg","https://www.etsy.com/listing/1855552592/fourth-wing-quest-squad-comfort-colors?ref=shop_review"
"1781164418-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Kristen on Mar 20, 2025","Great shirt. It’s perfect and arrived on time.","Kristen","Onyx Storm Quest Squad Broccoli Comfort Colors Shirt, Fourth Wing Shirt, Broccoli Cat TShirt, Ridoc Romantasy Fan Shirt, Dragon Rider Tee","5 out of 5 stars","https://i.etsystatic.com/6639380422/r/il/a404db/6639380422/il_340x270.6639380422_5ak9.jpg","https://www.etsy.com/listing/1873254505/onyx-storm-quest-squad-broccoli-comfort?ref=shop_review"
"1781164418-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Samantha on Mar 20, 2025","Looks exactly like described, fast delivery","Samantha","Onyx Storm Quest Squad Broccoli Comfort Colors Shirt, Fourth Wing Shirt, Broccoli Cat TShirt, Ridoc Romantasy Fan Shirt, Dragon Rider Tee","5 out of 5 stars","https://i.etsystatic.com/6639380422/r/il/a404db/6639380422/il_340x270.6639380422_5ak9.jpg","https://www.etsy.com/listing/1873254505/onyx-storm-quest-squad-broccoli-comfort?ref=shop_review"
"1781164418-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Dalia on Mar 20, 2025","I absolutely love this shirt! The quality is great and I ordered a xl for a looser fit! Already have gotten compliments!","Dalia","Kingfisher Comfort Colors Fan Shirt, Quicksilver Callie Hart Shirt, Little Osha Fantasy Romance Apparel, Merch Gift for Book Lovers","5 out of 5 stars","https://i.etsystatic.com/6642082176/r/il/839e05/6642082176/il_340x270.6642082176_oqbj.jpg",""
"1781164418-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=126","","Andrea on Mar 20, 2025","Nice heavy duty crewneck. Love the colors- very vibrant!","Andrea","Velaris Acotar The Night Court Two-Sided Comfort Colors Crewneck, Velaris The Night Court Sweatshirt, Court Of Dreams, Inner Circle Acotar","5 out of 5 stars","https://i.etsystatic.com/6267806982/r/il/fd8d8d/6267806982/il_340x270.6267806982_9p95.jpg",""
