web_scraper_order,web_scraper_start_url,pagination,data,review_date,review_count,context,buyer,title,rating,image,url,listing_id
1781167320-948,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=232,"Ally on Sep 12, 2024",2024-09-12,2.0,Perfect! I love it so much !!,Ally,"The Time Turner Wizard School Fandom Comfort Colors Shirt, Magic Hourglass Tee, HP Inspired Two Sided T Shirt, Bookish Gift For Friends",5 out of 5 stars,https://i.etsystatic.com/6089354568/r/il/47f439/6089354568/il_340x270.6089354568_23r2.jpg,https://www.etsy.com/listing/1753990441/the-time-turner-wizard-school-fandom?ref=shop_review,1753990441
1781167320-949,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=232,"Emma on Sep 12, 2024",2024-09-12,1.0,It’s soft and came way earlier than expected,Emma,"Astarion High Elf Game Comfort Colors Shirt, Peace Was Never An Option T Shirt, Astarion Goose Graphic Tee, Gaming Apparel",5 out of 5 stars,https://i.etsystatic.com/6257978605/r/il/9ef8e4/6257978605/il_340x270.6257978605_2g17.jpg,https://www.etsy.com/listing/1767009786/astarion-high-elf-game-comfort-colors?ref=shop_review,1767009786
1781167320-951,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=232,"Samantha on Sep 10, 2024",2024-09-10,1.0,I love this shirt! So cute!,Samantha,"Wizard Chess Comfort Colors Shirt, Once I Make My Move T Shirt, Wizard School Fandom Tee, Wizarding World HP Inspired, Gift For Hp Fan",5 out of 5 stars,https://i.etsystatic.com/6104595644/r/il/79eb44/6104595644/il_340x270.6104595644_nvv7.jpg,https://www.etsy.com/listing/1757272917/wizard-chess-comfort-colors-shirt-once-i?ref=shop_review,1757272917
1781167337-967,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=234,"krystin on Aug 21, 2024",2024-08-21,2.0,The cutest shirt!!! It came super fast and I can’t wait to wear it to universal! It is super comfy and is just as described.,krystin,"Magical Motorbikes Comfort Colors Shirt, Hagrids Motorbikes Tee, Universal Fan T-shirt, Bookish Wizard Shirt, Magical Adventure Apparel",5 out of 5 stars,https://i.etsystatic.com/6161187403/r/il/8d5df9/6161187403/il_340x270.6161187403_kc7n.jpg,https://www.etsy.com/listing/1744975510/magical-motorbikes-comfort-colors-shirt?ref=shop_review,1744975510
1781167337-971,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=234,"Maddie on Aug 3, 2024",2024-08-03,2.0,Never received the item. No longer on Etsy.,Maddie,"Pink Pony Club Comfort Colors Shirt, Pink Pony Girl Tee, Midwest Princess Tour Shirt, Wlw Shirt, Sapphic Lesbian Shirts",1 out of 5 stars,https://i.etsystatic.com/6158872493/r/il/423994/6158872493/il_340x270.6158872493_frlr.jpg,https://www.etsy.com/listing/1758623745/pink-pony-club-comfort-colors-shirt-pink?ref=shop_review,1758623745
1781167337-972,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=234,"Wolfmoon on Jul 31, 2024",2024-07-31,1.0,Great shirt. Just as pictured.,Wolfmoon,"The Broomstick Wizard School Comfort Colors Shirt, Flying Lesson Tee, HP Inspired Two Sided T Shirt, Bookish Shirt, Gift For Friends",5 out of 5 stars,https://i.etsystatic.com/6089347694/r/il/e3c1ce/6089347694/il_340x270.6089347694_krlr.jpg,https://www.etsy.com/listing/1739795140/the-broomstick-wizard-school-comfort?ref=shop_review,1739795140
1781167337-975,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=234,"Taylor on Jul 16, 2024",2024-07-16,1.0,Looks exactly like I thought it would!,Taylor,"Take Chances Make Mistakes Get Messy Comfort Colors Shirt, Miss Frizzle Magic School Bus Shirt, Teacher Back To School Tee",5 out of 5 stars,https://i.etsystatic.com/6089364136/r/il/ab085f/6089364136/il_340x270.6089364136_j1se.jpg,https://www.etsy.com/listing/1753992433/take-chances-make-mistakes-get-messy?ref=shop_review,1753992433
1781167337-977,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=234,"Heidi on Jul 12, 2024",2024-07-12,1.0,Great quality t-shirt. Thank you!,Heidi,"Jane Austen Pride And Prejudice Comfort Colors Shirt, Jane Austen Bookish Tour Shirt, Y2k Shirt, Reading T Shirt",5 out of 5 stars,https://i.etsystatic.com/6134854347/r/il/985ac1/6134854347/il_340x270.6134854347_4pqv.jpg,https://www.etsy.com/listing/1753434371/jane-austen-pride-and-prejudice-comfort?ref=shop_review,1753434371
1781167347-984,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Amanda on Jul 7, 2024",2024-07-07,1.0,I love this shirt! It’s so soft and the colors are so vibrant,Amanda,"Chappell Good Luck Babe Comfort Colors Shirt, Midwest Princess 2024 Shirt, Sapphic Lesbian Tee",5 out of 5 stars,https://i.etsystatic.com/6137465173/r/il/e48d0d/6137465173/il_340x270.6137465173_mjy1.jpg,https://www.etsy.com/listing/1753997491/chappell-good-luck-babe-comfort-colors?ref=shop_review,1753997491
1781167347-986,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Darrian on Jun 14, 2024",2024-06-14,1.0,It was exactly as described,Darrian,"Personalized Bluey puzzle, custom Father's day puzzle, Bandit father day jigsaw puzzle bluey themed for trendy fathers gift for dad, 16-6",5 out of 5 stars,https://i.etsystatic.com/6009932054/r/il/eb1855/6009932054/il_340x270.6009932054_2wvu.jpg,https://www.etsy.com/listing/1735438781/personalized-bluey-puzzle-custom-member?ref=shop_review,1735438781
