web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781165749-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Courtney on Feb 4, 2025","Love this shirt - living in it as I sit in my Onyx Storm hangover. It's not as oversized as I thought. Ordered a medium, should have done a large for a more oversized feel.","Courtney","Fourth Wing Series Comfort Colors Shirt For Fan, Brave The Dark Onyx T Shirt, Dragon Lover Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6410158352/r/il/5a8a23/6410158352/il_340x270.6410158352_41s5.jpg","https://www.etsy.com/listing/1821952905/fourth-wing-series-comfort-colors-shirt?ref=shop_review"
"1781165749-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","kayla on Feb 4, 2025","Item is exactly as described and pictured and even arrived earlier than expected! 10/10 love it!!","kayla","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Mackenna on Feb 3, 2025","OBSESSED!! I love this I need to buy every color.","Mackenna","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Etsy buyer on Feb 3, 2025","Quality was fantastic! Would definitely order from here again.","","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Amanda on Feb 3, 2025","A perfect tribute to CC!","Amanda","Jelly Jubilee Crescent City Coffee Mug, Bryce Quinlan Mug Merch, Crescent City SJM 11oz 15oz Ceramic Mug, Jelly Jubilee Fan Club","5 out of 5 stars","https://i.etsystatic.com/6347624350/r/il/b6b725/6347624350/il_340x270.6347624350_ogiy.jpg","https://www.etsy.com/listing/1809626627/jelly-jubilee-crescent-city-coffee-mug?ref=shop_review"
"1781165749-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Cindy on Feb 3, 2025","Look the shirt. I ordered this for a gift. Love the design. I haven’t seen this on any women’s clothing.","Cindy","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Julie on Feb 3, 2025","Beautiful shirt it is a great gifts","Julie","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Kaycee on Feb 3, 2025","I love the way the shirt came out!","Kaycee","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Kaycee on Feb 3, 2025","I love the way the shirt came out!","Kaycee","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Selena on Feb 3, 2025","Beautiful. Shirt feels great. Nice quality. Love it.","Selena","Velaris The Night Court Acotar 2 Sided Comfort Colors Shirt, Velaris The Night Court Shirt, Court Of Dreams, Inner Circle Acotar Tee","5 out of 5 stars","https://i.etsystatic.com/6191051472/r/il/55c9c1/6191051472/il_340x270.6191051472_9fhf.jpg","https://www.etsy.com/listing/1762772738/velaris-the-night-court-acotar-2-sided?ref=shop_review"
"1781165749-11","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Lilly on Feb 3, 2025","I love it so so much! Exactly as pictured, I love the dragon drawings and the shirt is so comfy.","Lilly","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781165749-12","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=157","","Kristian on Feb 3, 2025","Love the material and the print on the shirt is so nice and washes well!","Kristian","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
