shop_name,listing_id,title,tags,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,image_13,image_14,image_15,image_16,image_17,image_18,image_19,image_20
Replace Mockup,1813748947,"Friendsgiving Holiday Comfort Colors Shirt, Christmas Shirt For Friends Fans, The One Where It’s Thanksgiving, 90s Nostalgia","Friendsgiving Invite, Turkey Thanksgiving, Rachel Trifle, Hate Rachel Club, Geller Cup champ, Friendsgiving Party, Shirts Thanksgiving, Invitation Template, Digital Invite, Thanksgiving Evite, Geller Bowl, 90s Nostalgia, Thanksgiving Friends",D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1813748947_pose_D2_white_single.png,,,,,,,,,,,,
Replace Mockup,1814933702,"Hallelujah Holy Shit Where's The Tylenol Sweatshirt, Dickless Crewneck, Christmas Vacation Rant Shirt, Griswold Family Christmas Hoodie","Cheap Lying Sweater, Where'S The Tylenol, Christmas Movie Tee, National Lampoon, Movie Quote Shirt, Funny Xmas Rant, Hallelujah Holy Shit, Shitters Full Shirt, Griswold Family Xmas, Holiday Sweatshirt, Ugly Christmas Shirt, Christmas Vacation, Xmas Vacation",D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1814933702_pose_D2_white_single.png,,,,,,,,,,,,
Replace Mockup,1744417528,"Wizard Flying Car Comfort Colors Shirt, Ron Flying Cars, Wizarding World Shirt, Wizard Car Shirt, HP Inspired, Christmas Gift","Pottery Shirt, Wizard School Shirt, Weasley Shirt, Universal Shirt, Flying Car Shirt, Universal Studios, Witches And Wizards, Comfort Colors Shirt, Potter Gifts, Vintage Flying Cars, Magic Book Shirt, Hp Inspired, Harry Potter Tshirt",D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1744417528_pose_D4_white_single.png,,,,,,,,,,,
Replace Mockup,1797036686,"Geller Bowl Friendsgiving Comfort Colors Shirt, Friends Thanksgiving Shirt, Geller Cup The One With The Football, Ross Rachel MonicaChandler","Geller Cup Bowl, Friendsgiving Shirt, Friends Thanksgiving, Ross And Rachel, Monica And Chandler, Joey And Phoebe, Mathew Perry, Black Friday, Cyber Monday, The Football Episode, Retro 90s Tv Show, Geller Cup Champ, Classic 90s",D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1797036686_pose_D2_white_single.png,,,,,,,,,,,,
Replace Mockup,1810956770,"90s Christmas Friends Comfort Colors Shirt For Fan, Monica’s Chef Hat T Shirt, Friendmas Tee, Friends Tv Show Shirts, Gift For Friends","Monica Vs Ross Shirt, Friends Lover Tee, Geller Bowl Tee, I Be There For You, Football Lover Tee, Friendmas Shirt, Geller Cup Sweater, Geller Cup 1996, Geller Cup Tee, Quit Bitch Monica, Geller Bowl Hoodie, Football Cup Tee, Friends Sweatshirt",D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1810956770_pose_D2_white_single.png,,,,,,,,,,,,
Replace Mockup,1739309808,"Slow Burn Book Club Comfort Colors Shirt, Romance Reader Bookish Shirts, Morally Grey Book Inspired T Shirt, Gift For Bookish","Fantasy Book Shirt, Enemies To Lovers, Gift for Book Lovers, Bookish Shirt, Book Club Gifts, Romance Reader Shirt, Romance Books, Book Trope T-Shirt, Book Club Shirt, Smut Bookish Shirt, Spicy Books Shirt, slow burn romance, morally grey",D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1739309808_pose_D4_white_single.png,,,,,,,,,,,
Replace Mockup,1742664362,"The Bat Boys Comfort Colors Shirt, Acotar Bookish T Shirt The Night Court Illyrians, A Court Of Thorns And Roses Rhysand Cassian Azriel","Acotar Shirt, Acotar Merch, The Bat Boys Shirt, Bat Boys Wings, Azriel Crescent City, Sjm Merch, Sarah J Maas Velaris, Bookworm Gift, Bookish Merch, Gift For Book Lover, Gift For Reader, Christmas Gift Shirt, Feyre Acotar Tee",D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1742664362_pose_D4_white_single.png,,,,,,,,,,,
Replace Mockup,1778404974,"Astarion High Elf Game Comfort Colors Sweatshirt, Peace Was Never An Option Crewneck, Astarion Goose Graphic Sweater, Gaming Apparel","Baldur Gate 3 Shirt, Dungeon And Dragon, Dungeon Master Shirt, Astarion High Elf, Astarion Juice Box, Baldurs Gate 3 Merch, Comfort Colors, Funny Goose Merch, Astarion Approves, Gamer Gifts For Men, Astarion Simp, Game Shirts For Fan",D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1778404974_pose_D2_white_single.png,,,,,,,,,,,,
Replace Mockup,1795425244,"Pink Pony Club Coffee Mug, Pink Pony Girl 11oz 15oz Ceramic Mug, Midwest Princess Tour Mug Merch, Christmas Gift For Her, Wlw Merch","Chappell Roan Cup, Chappell Roan Mug, Chappell Roan Gift, Chappell Roan Merch, Good Luck Babe, Red Wine Supernova, Chappell Roan Fans, Iced Coffee Cup, Pink Pony Club Cup, Chappell Roan Tour, Chappell Roan Lover, Femininomenon, Chappell Roan Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1795425244_pose_D2_white_single.png,,,,,,,,,,,,
Replace Mockup,1789466532,"Crescent City Fan Comfort Colors Shirt, My Friends Are With Me Lehabah Shirts, Crescent City Light It Up Tee, Bookish Gift, SJM Merch","Sjm Merch, Crescent City Shirt, Throne Of Glass, Crescent City Merch, Bookish Merch, Booktok Merch, Bookish Gift, Ruhn Danaan Shirt, Sarah J Maas Merch, City Of Starlight, Bryce Quinlan Shirt, AcotarMerch, ACOTAR Merch",D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1789466532_pose_D2_white_single.png,,,,,,,,,,,,
