product	shop_name	price	listing_age	total_views	views_per_month	total_reviews	total_favorites	avg_reviews	shop_age	total_shop_sales	category	listing_type
"Christmas Gift, Spinosaurus Dinosaur Figure, Customer Jurassic world night light, Dinosaur night light, Dinosaur statue, Unique night light"	ResinArtisanStudio	$135.00 	11	"58,265"	5296.8	22	"1,210"	2			Home & Living	
"Eevee Evolution Resin Lamp, Unique Epoxy Lamp for Kid, custom night light, pokemon figure, mother's day gift ideas"	ResinEpic	$99.80 	13	"58,256"	4481.2	83	"2,538"	6			Home & Living	
"Custume O.ri and the B.lind Forest,Hot Anime, Epoxy Resin Lamp, Wood Lamp, Handmade Lamp, Game Gift, Video Game, Valentine's Day gifts"	ResinArtisanStudio	$135.00 	23	"58,181"	2529.6	60	"1,885"	3			Home & Living	
"Interstellar Epoxy Lamp, Custom Epoxy Resin Lamp, Resin and Wood Night Light, Resin Wood Art Lamp, Custom Night Light, Personalized Light"	BreakWooden	$157.50 	34	"57,382"	1687.7	152	"3,090"	4			Home & Living	
Jellyfish & Diver Resin Wood Night Light: Ocean Art Decor	ResinLampMadebyRV	$109.80 	45	"57,228"	1271.7	32	"1,061"	1			Home & Living	
"Jellyfish & Coral Epoxy Resin Night Light- Axolotl resin lamp, Mexican Salamander resin art lamp, mother's day gifts"	GiftSymphony	$99.80 	27	"57,077"	2114	38	"3,376"	1			Home & Living	
K.night from Holl.ow Kn.ig.ht Epoxy Lamp ver 2 Hornet Resin Lamp H.ollow knight figure Terrarium Personalized Night Light diorama lamp	Hirosart	$137.25 	21	"56,870"	2708.1	87	"3,074"	4			Home & Living	
"Coral Reef Table Lamp, Resin Ocean Night Light, Coastal Lamp, Beach House Decor, Nautical Reef Lamp Gift, Reef Sculpture"	OceanHomeStudio	$50.00 	38	"56,553"	1488.2	78	"4,286"	2			Home & Living	
Lava Wood Resin Lamp: Handmade Epoxy Bedside Light	WoodnotionEQ	$164.00 	51	"55,150"	1081.4	20	"1,246"	0			Home & Living	
"Fantasy Knight Diorama Lamp, Dark Spirits, Onion Armor Resin Night Light, Video Games Gift, collectible statue, Great Quality"	ResinLampMadebyRV	$109.80 	19	"54,416"	2864	57	"1,315"	3			Home & Living	
"Shadow Monarch and Insect King Inspired Lamp, Anime Ji.woo Resin Night Light, Solo Le.veling Epoxy Lamp"	Hirosart	$137.25 	20	"54,411"	2720.6	59	"1,721"	3			Home & Living	
"Night Light scuba diver ocean, Ray lamp resin, epoxy resin wood, custom resin epoxy lamp, blue ocean lamp,shark epoxy lamp,christmas gift"	WoodAndResinVN	$163.40 	31	"54,024"	1742.7	97	"1,953"	3			Home & Living	
"To.oth.less Night Lights, T.ooth.less and l.ight fu.ry Epoxy lamp Table Lamp HTTYD night lamp, Housewarming Gifts Bedroom lamp, Unique Gift"	ResinArtisanStudio	$135.00 	20	"53,533"	2676.7	47	"2,475"	2			Home & Living	
"Monster resin night light, Diorama resin epoxy, Atomic Breath, resin lamp, home decor, gift for son, gift for Kids, Back to school Gift"	ResinArtisanStudio	$150.00 	32	"52,462"	1639.4	15	373	0			Home & Living	
"Horror Resin Lamp with Michael Figure, Creepy Halloween Night Light, Spooky Gothic Home Decor, Gothic Valentine Gift Idea"	Hirosart	$137.25 	9	"52,403"	5822.6	56	"1,573"	6			Home & Living	
"The EARTH and Astronaut Epoxy lamp, EGO lamp, Gravity in Space Night light, Moon night light, personalized night light"	Hirosart	$39.80 	30	"52,356"	1745.2	36	"1,857"	1			Electronics & Accessories	
"Diorama Mael.le Expedition 33 Night lamp, Handmade Resin & Wood Lamp | Sci-Fi Lamp | Unique Ambient Light, Gamer gifts"	Hirosart	$137.25 	9	"52,242"	5804.7	100	"1,194"	11			Home & Living	
"Fire Tooth.less and light Fu.ry Night Light – HTTYD Epoxy Lamp, Unique Gift, resin art, Housewarming Gifts Bedroom lamp"	Hirosart	$137.25 	11	"52,241"	4749.2	57	"1,877"	5			Home & Living	
"Blessed Mother Resin Wood lamp,Virgin Mary, Christian Art,Christian Bedside,Easter gifts, Housewarming gift, Religious Gifts,gift for Mom"	ResinMion	$129.00 	36	"51,973"	1443.7	57	"1,570"	2			Home & Living	
"Custom Alien Creature Resin Lamp Wood, Alien Epoxy Lamp, Sci-Fi Horror Being Night Light, Table Lamp, Gift For Him, Halloween Gifts"	BreakWooden	$122.50 	22	"51,524"	2342	63	"2,697"	3			Home & Living	
"Handmade Shark Epoxy Lamp: RGB LED Headphone Stand, Gamer Gift"	ResinLampMadebyRV	$258.00 	46	"51,329"	1115.8	34	"2,427"	1			Home & Living	
"Customer Optimus Prime night light, Christmas gifts , Gift for kids, Robot Figure, table lamp, Transformers Model resin Gift, Megatron"	ResinArtisanStudio	$135.00 	15	"50,994"	3399.6	71	"1,363"	5			Art & Collectibles	
"Explosion Resin Diorama Lamp: Atomic Bomb Fallout Art, Storm Cloud Lamp, Nuclear Bomb Explosion Resin Lamp, Fallout Inspired"	ResinLampMadebyRV	$109.80 	23	"50,509"	2196	69	"2,934"	3			Home & Living	
"De.s.ti.ny2 lamp , Custom anime Night Lamp, epoxy resin lamp, Handmade Resin Wood Lamp, Custom Night Light, Handcrafted Gift"	MelodicArtisan	$121.89 	30	"50,265"	1675.5	117	"2,380"	4			Home & Living	
"Large size Jesus Resin Wood Nitht lights: A Christian Bedside / Table lamps and Headphone Stand, Home Housewarming Decor Religious Gifts"	ResinArtYPCShop	$168.00 	43	"49,674"	1155.2	28	"1,660"	1			Home & Living	
"Handmade Anime Demon Hunter Resin lamp, Shadow Slayer, Tan.ziro and Ne.ruko figure, Hot Anime Model, Christmas idea gift"	ResinLampMadebyRV	$109.80 	7	"48,443"	6920.4	54	"1,400"	8			Home & Living	
Titanic Kraken Resin Lamp: Handmade Octopus Night Light	ResinLampMadebyRV	$109.80 	33	"48,371"	1465.8	6	882	0			Home & Living	
"Fourth wing dragon resin lamp - Legend Diorama luxury corporate gifts, Handmade Fire and Ice Dragon Gift, father's day gift ideas"	GiftSymphony	$99.80 	20	"48,316"	2415.8	52	"2,276"	3			Home & Living	
"Handmade Icebound Sword Sword Resin Lamp: Gamer Decor Gift, gift for him, gift for gamer, Handmade Sword figure, Fantasy world, Home Decor."	ResinLampMadebyRV	$109.80 	19	"47,795"	2515.5	78	"1,738"	4			Home & Living	
Diorama Darth Va.der Epoxy Lamp Star W.ar Night Light Custom Home Decor Night Light Epoxy art Custom Gift idea Christmas gift for him	EgoartByVan	$131.11 	18	"47,479"	2637.7	49	851	3			Home & Living	
	LayeredIllusions	$96.89 	40	"47,186"	1179.7	72	"3,511"	2			Art & Collectibles	
	JTNlab	$158.98 	80	"47,046"	588.1	78	"2,740"	1			Home & Living	
"TLOZ Inspired Lamp for Gamers – Master Sword Resin Wood Night Light, Father's Day Gift for Him"	ResinArtYPCShop	$79.00 	6	"47,037"	7839.5	82	"2,902"	14			Home & Living	
"Lord King Resin Lamp, Custom Movie Epoxy Night Light,Christmas Epoxy Resin Lamp, Magic Ring Lamp, Gift For him, Birthday Gift,Christmas gift"	WongFFKey	$20.00 	20	"45,837"	2291.8	10	"1,176"	1			Home & Living	
"Handmade Legendary Sword, Sword Silent Princess Flower lamp, Resin Wood Lamp, Hylaria Statue Gaming Decor, Winter Gifts for Him, TLoZ BOTW"	ResinLampMadebyRV	$109.80 	19	"45,730"	2406.8	59	"2,580"	3			Home & Living	
"Galaxy Night Light ver 4, Epoxy and Wooden Night Lights, Galaxy Epoxy Resin Wood Night lamp, Epoxy lamp Space, Room decor lamp"	Hirosart	$40.71 	32	"44,774"	1399.2	33	"1,745"	1			Home & Living	
"Silksong Hornet Resin Lamp, Hollow Knight SilkSong Figure, Handmade Gamer Gift, Gift for Him, Game Decor Lamp, Valentine's Gift for Him, Her"	DATKEYstudio	$123.82 	8	"44,728"	5591	136	"1,265"	17			Home & Living	
"Handmade Night Light, Silksong Hornet Resin Lamp, Hollow Knight SilkSong Figure, Handmade Gamer Gift, Hollow Knight resin figure decor, lamp"	ResinArtisanStudio	$135.00 	7	"44,707"	6386.7	81	988	12			Home & Living	
"Custom monters resin wood lamp , Custom Hero Resin Lamp figure , Terrarium Personalized Night Light, Bedroom lamp diorama resin epoxy"	ResinMion	$99.90 	30	"44,553"	1485.1	46	"1,620"	2			Home & Living	
Kamehameha Resin Lamp Goku-Inspired Handmade Anime LED Lamp DBZ Power Blast Decor Super Saiyan Room Resin Night Light Gift for Him	QIROXGifts	$80.00 	5	"43,886"	8777.2	36	627	7			Home & Living	
Fusion Handmade Oak Wood & Resin Lamp: Modern Nightstand Decor	WoodnotionEQ	$135.00 	35	"43,536"	1243.9	17	"1,117"	0			Home & Living	
Resin Initial Lamp with Silver Leaf: Custom LED Letter Light Gifts	ShinyBrightDesigns	$27.03 	68	"43,037"	632.9	15	970	0			Home & Living	
Samurai Training Under Bonsai Resin Lamp - Japanese Inspired Desk Sculpture	LayeredIllusions	$96.89 	28	"42,937"	1533.5	65	"2,699"	2			Art & Collectibles	
Aurora Borealis Paperweight Northern Lights Paperweight Decor Resin Wood Globe Northern Lights Gift Aurora Borealis Home Decor	EgoartByVan	$77.75 	29	"42,860"	1477.9	52	"2,300"	2			Art & Collectibles	
"Custom engraved resin lamp featuring Baby’s Breath flowers, Lover gifts, Christmas gift, Valentine day, gift for her"	CustomLampbyCong	$58.33 	18	"42,804"	2378	43	"1,633"	2			Home & Living	
"Anime Epoxy Lamp, Custom anime Night Lamp, epoxy resin lamp, Handmade Resin & Wood Lamp, Custom Night Light, Handcrafted Gift"	MelodicArtisan	$104.75 	29	"42,262"	1457.3	44	970	2			Home & Living	
"Mermaid & Jellyfish Epoxy Resin Night Light, Handmade Wood Lamp, Father's Day Gift for Him"	ResinArtYPCShop	$146.00 	51	"42,205"	827.5	16	"2,117"	0			Home & Living	
"Explosion Resin diorama- nuke bomb fallout 4, Atomic bomb diorama, Storm Cloud Lamp, Nuclear Bomb Explosion Resin Lamp, Fallout Inspired"	ResinEpic	$88.00 	19	"41,883"	2204.4	89	"2,762"	5			Home & Living	
