product,shop_name,price,listing_age,total_views,views_per_month,total_reviews,total_favorites,avg_reviews,shop_age,total_shop_sales,category,listing_type
"Handmade Resin Ocean Lamp, Octopus & Divers Diorama Night Light, custom night light, wood resin decor, gift for him, Christmas gift",,$109.80,30,"239,919",7997.3,170,"5,828",6,54,"31,299",Home & Living,Physical
"Handcrafted Scuba Diver Epoxy Lamp – Handmade Resin & Wood Night Light, Ocean Diver Design, Unique Christmas Gift for Him or Her",,$163.33,34,"225,884",6643.6,425,"9,747",13,66,"55,400",Home & Living,Physical
"Super anime resin night light, Dragon Ball Z Figure, gift ideas for him, Energy Warrior Battle Lamp, father's day gift ideas, Gift for dad",,$99.80,18,"225,170",12509.4,260,"4,526",14,39,"17,432",Home & Living,Physical
"Large Humpback whale Diver Night light, Epoxy Resin Wood Table lamps, Winter gift, Home decor, Father's Day Gift for Him",,$146.00,60,"222,948",3715.8,181,"9,595",3,64,"20,210",Home & Living,Physical
"Leaf Floor Lamp 107 cm (3'6) On Wire Stand, Handmade in Prague, Modern Living Room Decor, Eco Friendly Packaging | Organic Resin Paper",,$204.25,174,"215,244",1237.0,149,"12,613",1,187,"1,530",Home & Living,Physical
"Octopus and Diver Epoxy Resin lamp, Turtle resin Lamp, unique ocean lamp for kids, home decor for kids, summer light",,$99.80,34,"214,490",6308.5,179,"8,176",5,34,"16,179",Home & Living,Physical
"Fire Dragon and Ice Dragon Resin Lamp, Dragon lamp for home decor, Ancient Red Dragon, gift for him",,$99.80,26,"213,018",8193.0,230,"11,981",9,34,"16,179",Home & Living,Physical
"Whale Shark Cube Resin Lamp, Home Decor, Personalized Gifts, Halloween Gifts, Christmas Gifts, Handmade Gifts for Kids, Divers Crafts",,$89.90,34,"211,134",6209.8,235,"7,322",7,66,"8,644",Home & Living,Physical
"Ocean Resin Wooden Shark Lamp, Diver Night Light, Wood Desk Decor, Father's Day Gift for Him",,$146.00,57,"209,670",3678.4,158,"7,914",3,64,"20,210",Home & Living,Physical
"Diorama Lamp Custom, Christmas Gift, Lamp custom resin, green resin epoxy, bedside lamp wood, art deco diorama, Custom Night Light",,$158.66,48,"208,440",4342.5,288,"8,511",6,66,"55,400",Home & Living,Physical
"Too.thl.ess Dragon resin lamp ver 2, HTTYD Night lamp, Light Fury lamp, Unique Gift, resin art, Housewarming Gifts Bedroom lamp",,$137.25,17,"190,049",11179.4,126,"7,752",7,64,"62,570",Home & Living,Physical
"Dark Tyrant Diorama Lamp, Galaxy Wars, Resin Desk Decor, Home Decor Night Light, Epoxy art, Gift idea Christmas, gift for him",,$109.80,19,"186,808",9832.0,249,"6,868",13,54,"31,299",Home & Living,Physical
"INTERSTELLAR EPOXY LAMP, Space Galaxy Resin and Wood Night Light, Astronaut Resin Wood Art Lamp, Spacecraft Custom Night Light",,$157.00,35,"181,807",5194.5,340,"8,310",10,66,"55,400",Home & Living,Physical
"Handmade Fire and Ice Dragon Lamp: 3D Resin Wood Home Decor, Lighting Home Decor, Valentines Day gift, Christmas gift, Fantasy Decor",,$109.80,44,"180,535",4103.1,371,"12,867",8,54,"31,299",Home & Living,Physical
"Ocean Explorer Resin Wood Lamp - Featuring Whale Shark and Divers - Perfect for Nautical Decor and Gifts, Father's Day Gift for Him",,$146.00,57,"168,554",2957.1,173,"7,661",3,64,"20,210",Home & Living,Physical
"Epoxy Resin Ocean Lamp, Manta Ray & Diver Diorama Night Light , Unique Christmas, Gift for him, desk lamp, ocean gift",,$109.80,43,"166,517",3872.5,264,"6,521",6,54,"31,299",Home & Living,Physical
"Toothless & Light Fury Resin Lamp, How to train your dragon night lights - Personalized Mother's Day Gift for mom",,$99.80,10,"165,603",16560.3,164,"5,869",16,34,"16,179",Home & Living,Physical
"Astronaut Galaxy Lamp – Resin Wood Space Age Night Light | Outer Space Shuttle Scene | Sci-Fi Decor Gift for Him or Kids, Father's Day Gift",,$146.00,45,"160,471",3566.0,295,"9,596",7,64,"20,210",Home & Living,Physical
Personalized Super Hero Night light Custom Hero Resin Lamp figure Terrarium Personalized Night Light Bedroom lamp diorama resin epoxy,,$137.25,20,"158,782",7939.1,116,"2,715",6,64,"62,570",Home & Living,Physical
"Space Galaxy Lamp made of resin and wood, Space Night Lights, Epoxy Night Lamp for Spacecraft, Interstellar resin lamp, Christmas Gift, lamp",,$135.00,23,"158,524",6892.3,258,"8,831",11,39,"20,551",Home & Living,Physical
"CLEARANCE night light, Custom anime Night Lamp, epoxy resin lamp, Handmade Resin & Wood Lamp, Custom Night Light, Handcrafted Gift",,$91.42,22,"153,668",6984.9,167,"2,685",8,54,"22,721",Home & Living,Physical
"Submarine Diorama Resin Lamp, Military Warship Explosion Decoration, Type B, Unique Gifts",,$395.00,59,"149,107",2527.2,17,"4,174",0,94,677,Art & Collectibles,Physical
"Diorama Ring lamp, Custom Epoxy Resin Lamp, Lighting Home Decor, Resin Night Light, Christmas gifts, gift for him, halloween",,$109.80,20,"149,021",7451.1,248,"5,093",12,54,"31,299",Home & Living,Physical
Hammerhead Shark and Diver Resin Night Light Epoxy and Wooden Lamp Epoxy Resin Wood Rustic Creative Handmade Furniture and Decor,,$123.75,45,"147,487",3277.5,189,"7,249",4,64,"62,570",Home & Living,Physical
Diorama Zombie Spinosaurus and Couple divers Night Light Lamp Ocean Diorama Modern Table Lamp Epoxy Resin Handmade Furniture And Decor Gifts,,$152.40,35,"147,113",4203.2,37,"3,718",1,64,"62,570",Home & Living,Physical
"Fire breath dragon resin lamp, resin art, dragon art,dragon statue,table lamp,gift for him, gaming decoration, dragon lamp as Halloween gift",,$99.90,19,"143,610",7558.4,213,"6,265",11,43,"15,304",Home & Living,Physical
"Handmade Ocean Resin Lamps – A Gift for Son, Bedroom Decor Night Light",,$89.99,31,"139,967",4515.1,176,"3,456",6,107,"5,158",Home & Living,Physical
"Jungle Epoxy Resin Wooden Lamp | 16 Colours Changing Resin Wood lamp | Decorative Lamp, Resin Art | Resin Lamp | Table Lamp | Gift for...",,$165.99,47,"139,570",2969.6,30,"6,112",1,67,"2,625",Home & Living,Physical
"Handmade Beast Diorama Lamp – Epoxy Resin Night Light, godzilla resin lamp, godzilla gift wooden box",,$99.80,26,"135,054",5194.4,148,"3,590",6,39,"17,432",Home & Living,Physical
"To.oth.less Night Lights, T.ooth.less and l.ight fu.ry Epoxy lamp Table Lamp HTTYD night lamp, Home Decor Boho Birthday gifts for friend",,$137.25,36,"133,677",3713.2,180,"8,259",5,64,"62,570",Home & Living,Physical
"Mothers day Gift, Diorama Dark Souls lamp, Onion knight night light, Siegmeyer of Catarina figure, Video Games Gift, Collectible statue,Xmas",,$135.00,30,"132,977",4432.6,169,"4,348",6,39,"20,551",Home & Living,Physical
Multicolored Resin Bubbles Chandelier: Bronze Metal Lighting,,$209.00,83,"132,674",1598.5,33,"4,995",0,166,"11,545",Home & Living,Physical
Large Resin Tray Mold Set: Square and Rectangle Silicone Casting Molds,,$19.97,54,"125,729",2328.3,58,"3,361",1,168,"1,943",Craft Supplies & Tools,Physical
"Scuba Diver Resin Lamp, Handmade LED Wood & Resin Night Light for Diving Lovers, Ocean art",,$52.00,51,"125,413",2459.1,77,"2,847",2,80,"1,782",Home & Living,Physical
"Mother's day Gift, Epoxy resin wood lamp famous anime, epoxy resin lamp, Custom Night Light, Housewarming gift, Birthday Gift, Father's day",,$135.00,26,"122,352",4705.8,123,"8,452",5,39,"20,551",Home & Living,Physical
"Dandelion Night Light, Real Dandelion puff Paperweight, Flower Epoxy Resin Nightlight, Epoxy Resin Wood Table Lamp Valentine Gifts idea",,$69.00,55,"113,692",2067.1,210,"9,173",4,64,"62,570",Home & Living,Physical
Kodama Forest Resin Lamp - Japan Themed Zen Desk Art,,$96.89,27,"112,950",4183.3,54,"6,785",2,41,"3,019",Art & Collectibles,Physical
"Resin lamp eevee evolution, pokemon gifts, custom night light, resin night light, resin lamp, epoxy lamp, epoxy resin lamp, pokemon birthday",,$137.98,36,"112,410",3122.5,86,"5,194",2,59,"12,310",Home & Living,Physical
"Pokemon resin lamp, pokemon gifts, epoxy lamp, custom resin lamp, custom pokemon, custom night light, resin night light, epoxy resin lamp",,$137.98,36,"109,009",3028.0,133,"4,770",4,59,"12,310",Home & Living,Physical
Aurora Borealis Lamp Howling Wolf Northern Lights Lamp Alaska Decor Northern Lights Gift Resin Lamp Wood Creative Personalized Gifts,,$123.75,34,"106,678",3137.6,193,"6,145",6,64,"62,570",Home & Living,Physical
Shark & Diver Epoxy Resin Lamp: Custom Wood Art Night Light,,$163.66,44,"104,890",2383.9,241,"4,107",5,66,"55,400",Home & Living,Physical
"Reflections Effect Waterblue Sphere Cremation Urn, Memorial Ashes Keepsake Mini Urn, Resin Urn, Cremation Urn Lamp",,$46.93,66,"103,215",1563.9,70,"2,421",1,68,"9,109",Home & Living,Physical
"Mother's day Gift 2026 , Galaxy Lamp, Galaxy Night light, Space ship Lamp, Resin night light, personalization Gift, Star War resin lamp,",,$135.00,19,"102,470",5393.2,185,"4,537",10,39,"20,551",Home & Living,Physical
"Orca Shark vs Turtles Resin lamp, Manta Ray Desk Lamp, Jellyfish Lamp - Unique Gift for him, Summer light, Mother day gift",,$60.00,31,"101,354",3269.5,140,"4,485",5,34,"16,179",Home & Living,Physical
"Diorama Great white shark & Couple Diver lamp, Valentines day gift, Kids gift, Free Diving, Unique Summer Gift, Home decor, Christmas Gift",,$109.80,40,"98,907",2472.7,111,"3,376",3,54,"31,299",Home & Living,Physical
"Manta rays Jellyfish Night light, Resin Wood Lamp, Blue ocean Miniature, Home Decor Dnique Kids Gift, Father's Day Gift for Him",,$146.00,48,"98,602",2054.2,120,"8,217",3,64,"20,210",Home & Living,Physical
"Large size Octopus Kraken Shipwreck Night light Home Desk Decor, Resin Wood Pirate ship Lamp, Bookshelf Decor, Father's Day Gift for Him",,$146.00,45,"98,548",2190.0,123,"5,599",3,64,"20,210",Home & Living,Physical
Handcrafted Wood Resin Night Light: Color Changing Rustic Table Lamp,,$109.80,53,"98,396",1856.5,57,"3,510",1,54,"31,299",Home & Living,Physical
"Toothless and Light fury night light, Handmade dragons Light, Fantasy Gift for Her or Kids, dragon age, mothers day gift",,$99.00,19,"98,268",5172.0,96,"4,939",5,34,"16,179",Home & Living,Physical
"Sea turtle Diver Night Lights , Epoxy Resin Wood Light Lamp, Home decor, Winter gifts, Father's Day Gift for Him",,$158.00,59,"98,007",1661.1,56,"4,056",1,64,"20,210",Home & Living,Physical
,,$119.98,48,"97,578",2032.9,69,"2,574",1,107,"5,158",Home & Living,Physical
"Single Diver Resin Night Light – Deep Sea Ocean Lamp, Handmade Wood Decor",,$119.98,48,"97,578",2032.9,69,"2,574",1,107,"5,158",Home & Living,Physical
"Great WHITE SHARK and divers Night Lights, Manta Rays Epoxy lamp, Epoxy Resin Table Lamp, Custom Lamp Creative Personalized Room decor Gifts",,$134.97,30,"97,152",3238.4,49,"1,432",2,64,"62,570",Home & Living,Physical
Diorama Space Lamp: Handmade Epoxy Resin Astronaut Night Light,,$109.80,39,"91,914",2356.8,124,"5,722",3,54,"31,299",Home & Living,Physical
"Blue whale Couple Diver, Scuba Diving, Winter gift, Large Epoxy Resin Wood Light, Home decor, Bookshelf Decor",,$146.00,56,"91,448",1633.0,43,"4,148",1,64,"20,210",Home & Living,Physical
"Sea Turtle & Couple Diver Night light, Large Epoxy Resin Wood Table lamps, Home decor unique gift, Father's Day Gift for Him",,$146.00,51,"90,708",1778.6,108,"4,496",2,64,"20,210",Home & Living,Physical
"Tea light incense burner for resin, herbs, loose incense, oil warmer and wax melt | Separate resin and loose herb kits",,$11.99,62,"89,904",1450.1,728,"6,224",12,72,"40,123",Home & Living,Physical
"Pokemon resin lamp eevee evolution, eevee evolution resin night light, pokemon birthday, pokemon gift",,$163.98,32,"88,325",2760.2,78,"3,449",2,59,"12,310",Home & Living,Physical
"Pokemon Gengar resin lamp – Unique Epoxy Night Light, p0kemon resin lamp, Gift for Him, gengar figure, father's day gift ideas, Gift for dad",,$99.80,13,"88,092",6776.3,95,"3,332",7,39,"17,432",Home & Living,Physical
"Mother's day Gift, Monster Night light Atomic Breath Resin Lamp God.zilla figure Terrarium Personalized Night Light Bedroom lamp",,$135.00,26,"88,042",3386.2,109,"2,624",4,39,"20,551",Home & Living,Physical
"Handmade Ocean Shark Night Light: Diver Resin Lamp, Decorative Table Lamp for Home Bedroom",,$108.98,54,"87,612",1622.4,28,"1,948",1,107,"5,158",Home & Living,Physical
